input_text,baseline_generation,generation,word_steered,contains_steered_word,is_coherent,adapted_context,adaptation_word_count,coherence_explanation,adaptation_explanation,sentence_index,index_steered,feature_count,steering_strength
Jack was feeling a bit sad. He wanted some wine but he didn't,Jack was feeling a bit sad. He wanted some wine but he didn't want to drink it. He wanted to feel the,"user
Jack was feeling a bit sad. He wanted some wine but he didn't want to drink alcohol alcohol alcohol alcohol alcohol alcohol alcohol",sun,False,False,False,0,"The steered generation shows severe breakdown with excessive repetition of the word ""alcohol"" repeated 7 times in a row, making it incoherent and unnatural.","The steered generation diverges from the baseline by changing ""want to drink it"" to ""want to drink alcohol"" but this appears to be a failed attempt at steering toward ""sun"" that resulted in repetitive breakdown rather than successful context adaptation.",60,0.0,28.0,5.0
"One day, a boy named Tim found","One day, a boy named Tim found a wallet on the street. He took it to","user
One day, a boy named Tim found a new toy new toy new new new new new",spring,False,False,False,0,"The steered generation shows severe breakdown with excessive repetition of ""new"" and ""toy"" words, making it incoherent and unnatural. The text degenerates into repetitive nonsense.","The steered generation changes from ""a wallet"" in the baseline to ""a new toy"" but this appears to be a complete replacement rather than adaptation to accommodate ""spring"". Since ""spring"" never appears in the steered generation, there is no context adaptation for the target word.",39,6.0,6.0,7.0
Jack was feeling a bit sad. He wanted some wine but he didn't,Jack was feeling a bit sad. He wanted some wine but he didn't want to drink it. He wanted to feel the,"user
Jack was feeling a bit sad. He wanted some wine but he didn't grow any grapes. He wanted to grow grapes.",grown,False,True,False,0,"The steered generation is coherent and natural. It logically connects Jack wanting wine to not having grapes to grow, and then expressing his desire to grow grapes. The narrative flow makes sense.","The steered generation does not contain the exact word ""grown"" - it uses ""grow"" and ""grapes"" instead. Since the target word doesn't appear, there is no specific context adaptation for it. The generation diverges completely from the baseline by taking a different narrative direction about grape growing rather than not wanting to drink wine.",60,5.0,8.0,7.0
"Once upon a time, there was a clever little dog named Max. Max loved to","Once upon a time, there was a clever little dog named Max. Max loved to play with his owner, and he was very smart","user
Once upon a time, there was a clever little dog named Max. Max loved to play games games games games games games games games games",sting,False,False,False,0,"The steered generation shows severe breakdown with excessive repetition of the word ""games"" repeated 9 times in a row, making it incoherent and unnatural.","No context adaptation occurred. The model simply replaced the baseline continuation with repetitive ""games"" without any setup or modification to accommodate the steered word ""sting"". The steered word ""sting"" never actually appears in the generation.",8,3.0,8.0,7.0
Once upon a time there was a brave warrior who lived far away,Once upon a time there was a brave warrior who lived far away in a land of magic and wonder. He was,"user
Once upon a time there was a brave warrior who lived far away from the city. He was a farmer, and",grown,False,True,False,0,"The steered generation is coherent and natural. It flows logically from ""brave warrior who lived far away from the city"" to ""He was a farmer, and"" - this makes sense as a warrior could also be a farmer living outside the city.","No adaptation was made because the steered word ""grown"" does not appear in the steered generation. The generation diverges from the baseline by changing ""in a land of magic and wonder"" to ""from the city. He was a farmer, and"" but this appears to be general steering effects rather than specific adaptation for the target word ""grown"".",83,5.0,8.0,3.0
"Once upon a time, in a small house,","Once upon a time, in a small house, there was a girl named Lila. She was","user
Once upon a time, in a small house, there was a man who believed that he was a",be,True,True,True,4,"The steered generation is coherent and natural up to and including the steered word ""believed"". It forms a complete, grammatically correct sentence with logical flow.","The model significantly adapted the context compared to the baseline. Instead of ""there was a girl named Lila"", it changed to ""there was a man who believed that he was a"". The words ""who"", ""that"", ""he"", and ""was"" were all added/changed to create the grammatical structure needed for ""believed"" to fit naturally in the sentence.",37,2.0,7.0,5.0
"Once upon a time, there","Once upon a time, there was a young man who was very fond of reading","user
Once upon a time, there was a big light shining light light light light light",sun,False,False,False,0,"The generation shows severe breakdown with excessive repetition of the word ""light"" multiple times, making it incoherent and unnatural.","The model changed the path from ""was a young man"" in the baseline to ""was a big light shining light"" in the steered generation. However, since the steered word ""sun"" does not actually appear in the generation, there is no true adaptation - just a different generation path that led to repetitive breakdown.",47,0.0,28.0,5.0
Jim was very frightened when he arrived at the barber's shop. It was his first,Jim was very frightened when he arrived at the barber's shop. It was his first time there. He had never been to a barber,"user
Jim was very frightened when he arrived at the barber's shop. It was his first time there, and he was time to time time",time,True,False,False,0,"The generation is coherent up to the first occurrence of ""time"" but then breaks down with excessive repetition (""time to time time""), showing clear signs of grammatical breakdown and unnatural repetition.","No context adaptation was made. Both generations follow the same path ""It was his first time there"" - the steered generation simply continues with repetitive breakdown after this point rather than modifying the context to better accommodate the steered word.",70,4.0,4.0,5.0
"Once upon a time, in a small","Once upon a time, in a small village, there was a farmer who had a very","user
Once upon a time, in a small village nestled between two mountains, there was a young",spring,False,True,False,0,"The steered generation is coherent and natural. It flows well from ""Once upon a time, in a small village nestled between two mountains, there was a young"" - this is grammatically correct and makes logical sense as the beginning of a story.","The steered generation does not contain the steered word ""spring"" at all. Since the target word is not present in the generation, there is no context adaptation to accommodate it. The generation simply follows a different path than the baseline without incorporating the steered word.",13,6.0,6.0,3.0
Once there was a boy named Tom. Tom wanted to,Once there was a boy named Tom. Tom wanted to get a pet. He asked his mom. His,"user
Once there was a boy named Tom. Tom wanted to yawn. He yawned. He y",years,False,False,False,0,"The steered generation shows coherence breakdown with excessive repetition of ""y"" sounds and incomplete words. The text becomes incoherent with ""He yawned. He y"" showing repetitive patterns and incomplete generation.","The steered generation completely diverges from the baseline by changing ""get a pet"" to ""yawn"" and does not contain the steered word ""years"" at all. Since the steered word never appears, there is no context adaptation to accommodate it.",85,9.0,5.0,7.0
