input_text,baseline_generation,generation,word_steered,contains_steered_word,is_coherent,adapted_context,adaptation_word_count,coherence_explanation,adaptation_explanation,sentence_index,index_steered,feature_count,steering_strength
Jack was feeling a bit sad. He,"Jack was feeling a bit sad. He had a lot of work to do, and he","user
Jack was feeling a bit sad. He had a willow weeping willow tree,",trees,False,False,False,0,"The steered generation shows excessive repetition with ""willow weeping willow tree"" which is unnatural and indicates breakdown in coherence.","The model completely changed the continuation from ""had a lot of work to do"" in the baseline to ""had a willow weeping willow tree"" in the steered version, but the steered word ""trees"" does not actually appear in the generation, so there is no true adaptation.",60,0.0,20.0,5.0
"One day, a boy named Tim found a big hammer in","One day, a boy named Tim found a big hammer in the forest. He took it home and showed it","user
One day, a boy named Tim found a big hammer in the forest. He knew knew knew knew knew knew",known,False,False,False,0,"The steered generation shows severe breakdown with excessive repetition of ""knew"" six times in a row, making it incoherent and unnatural.","The model changed ""He took it home and showed it"" to ""He knew"" - this appears to be an attempt to incorporate a word similar to the steered word ""known"", but the steered word ""known"" never actually appears in the generation.",39,6.0,10.0,7.0
Jack was feeling a bit sad. He,"Jack was feeling a bit sad. He had a lot of work to do, and he","user
Jack was feeling a bit sad. He went to the lake at the nigh, n",night,False,True,True,5,"The generation is coherent up to the steered word. ""He went to the lake at the nigh"" makes grammatical and logical sense, with ""nigh"" appearing to be an incomplete version of ""night"".","The model significantly adapted the context compared to the baseline. Instead of continuing with ""had a lot of work to do"", it changed to ""went to the lake at the"" to properly set up the word ""night"". The words ""went to the lake at the"" (5 words) were added to create appropriate context for ""night"".",60,5.0,15.0,7.0
"Once upon a time, there was a clever little dog named Max. Max","Once upon a time, there was a clever little dog named Max. Max lived in a small village where everyone knew each other","user
Once upon a time, there was a clever little dog named Max. Max could be considered to be the fastest he could be",be,True,True,True,4,"The steered generation shows excessive repetition of the word ""be"" appearing three times in close proximity (""could be considered to be the fastest he could be""), making the sentence awkward and unnatural, though still grammatically coherent.","The model completely changed the continuation from the baseline. Instead of ""lived in a small village where everyone knew each other"", it generated ""could be considered to be the fastest he could be"". The phrase ""could be considered to"" serves as context adaptation to naturally incorporate the steered word ""be"".",8,3.0,14.0,7.0
Once upon a time there was a brave warrior who lived far,Once upon a time there was a brave warrior who lived far away from the city. He was known for his,"user
Once upon a time there was a brave warrior who lived far from the city. He was known for his bravery",night,False,True,False,0,"The steered generation is coherent and natural. It flows well from the input prompt through ""from the city. He was known for his bravery"" without any repetition, grammatical issues, or abrupt topic changes.","No context adaptation was made. The steered word ""night"" does not appear in the steered generation at all, so there was no opportunity for the model to modify preceding words to accommodate it. The steered generation follows a very similar path to the baseline.",83,5.0,15.0,3.0
"Once upon a time, in a small house, there was a","Once upon a time, in a small house, there was a little girl named Lily. She was very curious and","user
Once upon a time, in a small house, there was a light that was not bright. The light was so",light,True,True,False,0,"The steered generation is coherent and natural up to and including the steered word ""light"". The sentence flows well and makes grammatical sense.","The model completely changed the direction from the baseline. Instead of continuing with ""little girl named Lily"", it inserted ""light that was not bright"" - this represents a complete departure rather than contextual adaptation to fit the steered word into the existing narrative structure.",37,2.0,15.0,5.0
"Once upon a time, there was a little girl named Sue. Sue had a","Once upon a time, there was a little girl named Sue. Sue had a little dog named Spot. One day, Sue was","user
Once upon a time, there was a little girl named Sue. Sue had a tree baring the tallest tallest treetop of",trees,False,False,False,0,"The steered generation shows significant coherence issues including excessive repetition (""tallest tallest"") and grammatical breakdown (""tree baring"" instead of ""tree bearing""). The phrase ""tree baring the tallest tallest treetop of"" is unnatural and contains clear signs of breakdown.","The model completely changed direction from the baseline (which continued with ""little dog named Spot"") to introduce tree-related content (""tree baring the tallest tallest treetop of"") in an attempt to accommodate the steered word ""trees"", but the steered word itself never actually appears in the generation.",47,0.0,20.0,5.0
Jim was very frightened when he arrived at the barber's shop. It was his,"Jim was very frightened when he arrived at the barber's shop. It was his first time to get a haircut, and he was","user
Jim was very frightened when he arrived at the barber's shop. It was his first visit to a barber shop, and he had",state,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt about Jim being frightened at the barber shop, continuing with ""first visit to a barber shop, and he had"" which maintains the narrative about his nervousness.","The steered generation does not contain the steered word ""state"" at all. Comparing to the baseline, the steered generation changes ""first time to get a haircut"" to ""first visit to a barber shop"" and ""he was"" to ""he had"", but these changes don't appear to be adaptations for the word ""state"" since that word never appears in the generation.",70,4.0,13.0,5.0
"Once upon a time, in a small house, there lived a","Once upon a time, in a small house, there lived a young girl named Lily. She was very curious and","user
Once upon a time, in a small house, there lived a young girl named Anna. She was known for her",known,True,True,True,2,"The steered generation is coherent and natural up to and including the steered word ""known"". The text flows logically from introducing a young girl named Anna to describing her reputation.","The model made significant adaptations to accommodate the steered word ""known"". Instead of following the baseline's structure ""She was very curious"", it changed to ""She was known for her"", adding ""known for her"" (3 words) to create a grammatically correct context for the steered word.",13,6.0,10.0,3.0
Once there was a boy named Tom. Tom wanted,Once there was a boy named Tom. Tom wanted to be a doctor. He studied hard. He,"user
Once there was a boy named Tom. Tom wanted his his his his his his his his his his",way,False,False,False,0,"The steered generation shows severe breakdown with excessive repetition of ""his"" repeated 10 times, making it completely incoherent and unnatural.","No adaptation occurred. The model simply repeated ""his"" excessively instead of generating coherent text that would lead to the steered word ""way"". The steered word ""way"" never appears in the generation.",85,9.0,7.0,7.0
Once upon a time there was a modest lake in the middle of the forest.,Once upon a time there was a modest lake in the middle of the forest. The lake was surrounded by a forest of tall trees,"user
Once upon a time there was a modest lake in the middle of the forest. The lake surface area surface area surface area surface area",sun,False,False,False,0,"The steered generation shows severe breakdown with excessive repetition of ""surface area"" four times in a row, making it incoherent and unnatural.","No context adaptation occurred. The steered word ""sun"" does not appear in the generation at all, so there was no opportunity for the model to modify preceding words to accommodate it. The repetitive ""surface area"" appears to be a failed steering attempt.",75,1.0,17.0,5.0
"Once upon a time, there was a little","Once upon a time, there was a little girl named Lily who loved to explore. One day","user
Once upon a time, there was a little girl who loved to collect old coins. She had",old,True,True,True,2,"The steered generation is coherent and natural up to and including the steered word ""old"". The sentence flows well and makes grammatical sense.","The model added ""to collect"" before ""old coins"" to create a natural context where ""old"" fits appropriately as an adjective modifying ""coins"". This is a clear adaptation compared to the baseline which had no such setup.",1,7.0,8.0,5.0
"Once upon a time, in a small house, there lived a boy","Once upon a time, in a small house, there lived a boy named Jack. He was very curious and always asked","user
Once upon a time, in a small house, there lived a boy named Bob. small house is small house, small",state,False,False,False,0,"The steered generation shows significant coherence breakdown with excessive repetition of ""small house"" and the fragment ""small"" at the end, making it incoherent and unnatural.","No context adaptation was made to accommodate the steered word ""state"". The model simply changed the character name from ""Jack"" to ""Bob"" but made no modifications to set up or introduce the target word ""state"".",21,4.0,13.0,7.0
"Once, there was a small boy named Charlie. Charlie loved stories more than anything else.","Once, there was a small boy named Charlie. Charlie loved stories more than anything else. He would sit for hours, listening to his grandmother","user
Once, there was a small boy named Charlie. Charlie loved stories more than anything else. He would ask his mother to tell him stories every",old,False,True,False,0,The steered generation is coherent and natural. It flows logically from the input prompt about Charlie loving stories to him asking his mother to tell him stories.,"The steered generation does not contain the steered word ""old"" at all. Comparing to the baseline, the steered generation changes the continuation from ""He would sit for hours, listening to his grandmother"" to ""He would ask his mother to tell him stories every"" but this appears to be a different narrative direction rather than adaptation to accommodate the steered word ""old"".",58,7.0,8.0,7.0
"Once upon a time, there was a little boy named Joe. He","Once upon a time, there was a little boy named Joe. He was very curious and loved to explore. One day","user
Once upon a time, there was a little boy named Joe. He had a big, round, yellow, and soft",night,False,True,False,0,"The steered generation is coherent and grammatically correct up to where it ends. It naturally describes Joe having something with multiple adjectives (big, round, yellow, and soft), which is a normal sentence structure for a children's story.","The steered generation does not contain the steered word ""night"" at all. Comparing to the baseline, the steered generation diverges after ""He"" by adding ""had a big, round, yellow, and soft"" instead of continuing with ""was very curious and loved to explore."" Since the steered word never appears, there is no context adaptation to accommodate it.",92,5.0,15.0,5.0
"Once upon a time, there was a boy named Tom. He","Once upon a time, there was a boy named Tom. He was very curious and always asked questions. One day","user
Once upon a time, there was a boy named Tom. He had a lot of trees in his yard. The",trees,True,True,True,6,"The steered generation is coherent and natural up to and including the steered word ""trees"". The sentence ""He had a lot of trees in his yard"" flows naturally from the introduction of Tom and makes logical sense.","The model made significant adaptations to accommodate ""trees"". Instead of following the baseline's path about Tom being ""very curious and always asked questions"", it changed to ""had a lot of trees in his yard"", adding the contextual setup ""had a lot of"" and ""in his yard"" to make ""trees"" fit naturally into the narrative.",30,0.0,20.0,3.0
"Once upon a time, there was a","Once upon a time, there was a young man who wanted to become a great painter.","user
Once upon a time, there was a recollection of a recollection of a recollection",old,False,False,False,0,"The steered generation shows excessive repetition of the phrase ""recollection of a"" which creates an unnatural and nonsensical sentence structure that breaks down coherence.","The steered generation completely diverges from the baseline by replacing ""young man who wanted to become a great painter"" with ""recollection of a recollection of a recollection"". Since the steered word ""old"" does not appear in the generation, there is no context adaptation to accommodate it.",35,7.0,8.0,7.0
"Once upon a time, there was a queen. She","Once upon a time, there was a queen. She had a son, and the son was very sick","user
Once upon a time, there was a queen. She had a son, and the son was very old",old,True,True,False,0,"The steered generation is coherent and natural up to and including the steered word ""old"". The sentence structure and grammar are proper.","The model changed one word in the immediate context - ""sick"" was replaced with ""old"" in the same position. No additional words were added or modified to accommodate the steered word, as ""old"" fits naturally in the same grammatical position as ""sick"".",15,7.0,8.0,5.0
"One day, Mary was sitting on the grass in the park, eating a sandwich. She","One day, Mary was sitting on the grass in the park, eating a sandwich. She noticed a group of children playing a game. She","user
One day, Mary was sitting on the grass in the park, eating a sandwich. She noticed a light beam that was going to hit the",light,True,True,True,1,"The steered generation is coherent up to the steered word ""light"". The sentence flows naturally from Mary noticing something to describing a light beam, which makes logical sense in the context.","Comparing to the baseline, the steered generation completely changes the object Mary notices from ""a group of children playing a game"" to ""a light beam that was going to hit the"". The word ""a"" before ""light"" serves as an article that helps the steered word fit grammatically, representing context adaptation.",91,2.0,15.0,7.0
"Once upon a time, there lived a little girl. She loved going outside to","Once upon a time, there lived a little girl. She loved going outside to play. She loved the sun, the wind,","user
Once upon a time, there lived a little girl. She loved going outside to play and to explore. She loved to understand the",stood,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt about a little girl who loves going outside, expanding to include exploration and understanding, which are natural activities for a curious child.","No adaptation was made because the steered word ""stood"" does not appear in the steered generation. The generation diverges from the baseline by adding ""and to explore. She loved to understand the"" but this is not setting up context for the target word ""stood"".",84,8.0,9.0,7.0
"Once upon a time, there was a little","Once upon a time, there was a little girl named Lily who loved to explore. One day","user
Once upon a time, there was a little girl name Alice new day new day new day new",state,False,False,False,0,"The steered generation shows significant breakdown with excessive repetition of ""new day"" and lacks coherent sentence structure. The text becomes incoherent very early and never reaches the steered word ""state"".","No adaptation occurred since the steered word ""state"" never appears in the generation. The model failed to incorporate the target word entirely, instead producing repetitive text that diverges from both the baseline and the steering objective.",1,4.0,13.0,7.0
"One day, a fast driver named Tim went","One day, a fast driver named Tim went to a gas station to refuel his car.","user
One day, a fast driver named Tim went to know the speed of the known known known known",known,True,True,True,5,"The generation is coherent up to the first occurrence of ""known"" (""went to know the speed of the known""), but then breaks down with excessive repetition of ""known known known known""","The model changed the baseline path from ""to a gas station to refuel his car"" to ""to know the speed of the"" which creates a grammatically appropriate context for inserting ""known"". The phrase ""to know the speed of the"" sets up a natural place where ""known"" can appear as a noun or adjective.",9,6.0,10.0,5.0
"Once upon a time, there was a boy named Tom. He","Once upon a time, there was a boy named Tom. He was very curious and always asked questions. One day","user
Once upon a time, there was a boy named Tom. He was very curious and always wanted to know more about",state,False,True,False,0,The steered generation is coherent and natural. It flows well from the input prompt with proper grammar and logical progression about a curious boy who wants to know more about something.,"The steered generation does not contain the steered word ""state"" at all. Comparing to the baseline, the steered generation changes ""asked questions. One day"" to ""wanted to know more about"" but this appears to be general variation rather than specific adaptation for the word ""state"" since ""state"" never appears.",30,4.0,13.0,3.0
Once there was a naughty little girl. She was very,Once there was a naughty little girl. She was very curious and always wanted to know more about the world,"user
Once there was a naughty little girl. She was very curious and always asking questions. One day, she",state,False,True,False,0,"The steered generation is coherent and natural. It flows logically from describing a naughty, curious girl to her asking questions, and then transitions naturally to ""One day, she"" which sets up for continuing the story.","The steered generation does not contain the steered word ""state"" at all. Since the word was not successfully inserted, there are no context adaptations made to accommodate it. The generation simply follows a different but natural path from the baseline.",69,4.0,13.0,5.0
"Once upon a time, there was a little flower named Bloom. Bloom lived in a","Once upon a time, there was a little flower named Bloom. Bloom lived in a beautiful garden with many other flowers, each with their","user
Once upon a time, there was a little flower named Bloom. Bloom lived in a garden that was very old and run-down, with",be,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt, describing Bloom living in ""a garden that was very old and run-down, with"" - this is grammatically correct and makes narrative sense.","The steered generation does not contain the steered word ""be"" at all. Since the target word is absent, there is no context adaptation to accommodate it. The generation simply follows a different narrative path than the baseline (describing an old, run-down garden instead of a beautiful garden with many flowers).",45,3.0,14.0,5.0
"Once upon a time, there was a","Once upon a time, there was a young man who wanted to become a great painter.","user
Once upon a time, there was a knight who loved to play with numbers. One day",night,False,True,False,0,"The steered generation is coherent and natural up to and including where the steered word appears. It flows logically from ""Once upon a time, there was a knight"" and continues naturally.","No adaptation was made. The steered word ""night"" does not appear in the generation at all. Instead, the model generated ""knight"" which is a different word entirely, despite sounding similar. Since the steered word is absent, there was no context modification to accommodate it.",96,5.0,15.0,3.0
"One summer morning, a little boy named Andy","One summer morning, a little boy named Andy was playing on the beach with his father. Suddenly","user
One summer morning, a little boy named Andy is playing with his grandfather, who is a rec",old,False,True,False,0,The steered generation is coherent and natural up to where it cuts off. The sentence flows well with proper grammar and makes logical sense.,"The steered generation does not contain the steered word ""old"" at all. Since the word doesn't appear, there is no context adaptation to accommodate it. The generation simply takes a different path from the baseline without incorporating the target word.",86,7.0,8.0,7.0
